scorer,,,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais,Thais
bodyparts,,,nose,nose,rightEar,rightEar,leftEar,leftEar,head,head,neck,neck,center,center,hip,hip,tailBase,tailBase,RfrontPaw,RfrontPaw,LfrontPaw,LfrontPaw,RrearPaw,RrearPaw,LrearPaw,LrearPaw,foodPlate,foodPlate,foodPellet1,foodPellet1,foodPellet2,foodPellet2,frontTopHouse,frontTopHouse,frontBottomHouse,frontBottomHouse,backTopHouse,backTopHouse,backBottomHouse,backBottomHouse,centerHouse,centerHouse,centerBackHouse,centerBackHouse,upMothTop,upMothTop,upMothBottom,upMothBottom,upMothWingRight,upMothWingRight,upMothWingLeft,upMothWingLeft,downMothTop,downMothTop,downMothBottom,downMothBottom,downMothWingRight,downMothWingRight,downMothWingLeft,downMothWingLeft,upWormHead,upWormHead,upWormCenter,upWormCenter,upWormTail,upWormTail,downWormHead,downWormHead,downWormCenter,downWormCenter,downWormTail,downWormTail,blackCricket,blackCricket,blackSwoop,blackSwoop,blackLoom,blackLoom,yellowCricket,yellowCricket,yellowSwoop,yellowSwoop,greyLoom,greyLoom,flash,flash,cornerTopL,cornerTopL,cornerTopR,cornerTopR,cornerBottomL,cornerBottomL,cornerBottomR,cornerBottomR,windowTop,windowTop,windowBottom,windowBottom
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,110722_Cropped_ROI_0,img01319.png,137.22448979591834,32.36085343228197,142.43413729128014,49.99350649350649,132.4155844155844,35.16604823747679,140.8311688311688,38.77272727272725,136.02226345083486,41.57792207792207,115.18367346938774,45.98608534322818,109.1725417439703,34.76530612244895,126.80519480519479,27.151205936920206,,,,,,,,,124.40074211502781,114.11224489795919,106.36734693877548,98.08256029684603,142.0333951762523,97.28107606679035,157.2615955473098,17.5333951762523,156.05936920222632,76.0417439703154,88.33395176252318,17.93413729128011,85.92949907235621,78.04545454545453,121.19480519480518,45.585343228200344,81.9220779220779,43.581632653061206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.89239332096474,16.33116883116881,287.5027829313543,16.73191094619662,67.49536178107604,140.56122448979593,283.0946196660482,142.56493506493507,295.11688311688306,83.25510204081633,292.7124304267161,152.18274582560298
labeled-data,110722_Cropped_ROI_0,img03088.png,,,125.20222634508346,65.221706864564,147.6437847866419,60.012059369202206,134.01855287569572,66.02319109461965,132.81632653061223,57.60760667903523,130.41187384044525,43.581632653061206,123.99999999999997,30.75788497217067,121.19480519480518,25.948979591836718,,,,,,,,,122.79777365491648,108.90259740259742,109.97402597402595,98.08256029684603,143.2356215213358,96.4795918367347,155.25788497217067,19.136363636363598,151.6512059369202,76.0417439703154,88.33395176252318,17.93413729128011,85.92949907235621,78.84693877551021,113.98144712430425,45.585343228200344,81.9220779220779,44.383116883116855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.69016697588125,17.13265306122446,287.90352504638213,21.140074211502764,63.88868274582558,138.15677179962896,282.69387755102036,142.9656771799629,295.51762523191087,84.45732838589981,293.5139146567718,155.78942486085344
labeled-data,110722_Cropped_ROI_0,img05398.png,286.3005565862709,63.21799628942486,264.6604823747681,71.63358070500928,263.45825602968455,57.60760667903523,269.87012987012986,64.01948051948051,259.45083487940633,61.214285714285694,242.21892393320965,58.80983302411872,228.99443413729128,54.4016697588126,219.37662337662337,49.59276437847865,,,,,,,,,125.20222634508346,112.10853432282005,106.36734693877548,96.88033395176254,142.0333951762523,99.28478664192951,157.2615955473098,17.13265306122446,156.860853432282,77.24397031539888,88.33395176252318,20.739332096474925,87.1317254174397,79.24768089053802,119.19109461966605,44.783858998144694,81.52133580705006,43.982374768089045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.09090909090907,16.73191094619662,285.09833024118734,21.540816326530575,65.09090909090907,140.56122448979593,284.69758812615953,141.76345083487942,296.3191094619666,83.25510204081633,293.9146567717996,151.78200371057517
labeled-data,110722_Cropped_ROI_0,img05653.png,143.63636363636363,57.20686456400742,131.2133580705009,66.02319109461965,134.82003710575137,51.596474953617786,134.01855287569572,56.80612244897958,126.40445269016695,53.60018552875695,116.78664192949907,43.581632653061206,115.58441558441558,33.56307977736546,125.20222634508346,29.555658627087183,,,,,,,,,122.39703153988867,111.3070500927644,109.1725417439703,97.28107606679035,144.03710575139144,96.4795918367347,155.6586270871985,17.93413729128011,156.46011131725416,79.24768089053802,89.53617810760667,18.334879406307948,86.33024118738402,78.84693877551021,119.9925788497217,42.780148423005556,79.51762523191093,41.57792207792207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.09090909090907,16.33116883116881,287.1020408163265,17.93413729128011,63.88868274582558,138.15677179962896,284.69758812615953,142.16419294990726,295.51762523191087,83.65584415584416,293.113172541744,153.7857142857143
labeled-data,110722_Cropped_ROI_0,img09551.png,230.9981447124304,41.97866419294988,213.76623376623374,48.791280148423,216.17068645640072,31.96011131725416,220.57884972170686,39.5742115027829,211.76252319109463,38.77272727272725,197.73654916512058,38.37198515769941,184.5120593692022,36.769016697588114,176.0964749536178,37.9712430426716,,,,,,,188.11873840445267,22.342300556586252,124.80148423005565,111.70779220779221,107.16883116883116,98.08256029684603,141.63265306122446,96.88033395176254,158.86456400742114,13.926716141001833,156.860853432282,80.0491651205937,87.93320964749535,17.13265306122446,85.52875695732837,79.24768089053802,115.98515769944339,46.38682745825602,81.9220779220779,45.585343228200344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.08719851576993,18.735621521335787,285.8998144712431,19.537105751391437,62.68645640074209,140.1604823747681,281.89239332096474,139.35899814471244,296.3191094619666,83.25510204081633,295.51762523191087,151.78200371057517
labeled-data,110722_Cropped_ROI_0,img10635.png,,,116.78664192949907,66.82467532467533,141.63265306122446,63.21799628942486,129.6103896103896,68.02690166975881,131.2133580705009,61.61502782931353,127.20593692022263,46.38682745825602,125.6029684601113,34.36456400742114,122.39703153988867,28.353432282003695,,,,,,,,,123.99999999999997,112.50927643784789,106.36734693877548,97.28107606679035,142.83487940630795,97.28107606679035,158.86456400742114,16.73191094619662,156.05936920222632,80.0491651205937,90.33766233766232,17.93413729128011,87.1317254174397,77.64471243042672,117.18738404452688,44.783858998144694,82.32282003710574,43.982374768089045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.487940630797766,15.128942486085322,284.69758812615953,21.540816326530575,61.4842300556586,138.15677179962896,282.69387755102036,144.1679035250464,293.5139146567718,82.05287569573284,294.71614100185525,154.58719851576996
labeled-data,110722_Cropped_ROI_0,img12835.png,,,153.25417439703153,52.397959183673464,140.8311688311688,44.383116883116855,149.24675324675323,46.78756957328383,143.2356215213358,52.798701298701275,126.00371057513914,58.80983302411872,119.9925788497217,42.780148423005556,,,,,,,,,,,123.99999999999997,112.10853432282005,107.97031539888681,98.88404452690168,141.63265306122446,97.28107606679035,155.25788497217067,15.529684601113132,155.6586270871985,78.04545454545453,89.53617810760667,16.73191094619662,85.92949907235621,76.44248608534323,117.58812615955472,41.57792207792207,81.9220779220779,41.57792207792207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.88497217068644,15.128942486085322,287.5027829313543,16.73191094619662,64.28942486085342,135.75231910946198,280.2894248608534,139.75974025974028,296.3191094619666,82.05287569573284,294.71614100185525,153.38497217068647
labeled-data,110722_Cropped_ROI_0,img12873.png,152.05194805194805,51.596474953617786,136.02226345083486,70.43135435992579,141.63265306122446,51.596474953617786,141.63265306122446,57.20686456400742,134.82003710575137,55.60389610389609,120.3933209647495,53.60018552875695,120.3933209647495,38.37198515769941,126.40445269016695,32.36085343228197,,,,,,,142.83487940630795,41.57792207792207,124.40074211502781,112.10853432282005,107.16883116883116,96.88033395176254,142.83487940630795,100.487012987013,156.05936920222632,16.73191094619662,155.6586270871985,78.04545454545453,86.73098330241186,16.73191094619662,87.93320964749535,78.04545454545453,113.98144712430425,46.78756957328383,80.71985157699442,46.78756957328383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.08719851576993,16.73191094619662,285.09833024118734,23.143784786641902,64.69016697588125,142.16419294990726,283.8961038961039,142.16419294990726,295.51762523191087,86.46103896103895,293.9146567717996,152.18274582560298
